No,자료시점,분류,분류,분류,분류,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
No,자료시점,분류,분류,분류,분류,계,기소(소계),기소(소계),기소(소계),기소(소계),소년보호송치,가정보호송치,성매매보호송치,아동보호송치,불기소(소계),불기소(소계),불기소(소계),불기소(소계),불기소(소계),기소중지,참고인중지,공소보류
No,자료시점,분류,분류,분류,분류,계,기소(소계),구공판 구속,구공판 불구속,구약식,소년보호송치,가정보호송치,성매매보호송치,아동보호송치,불기소(소계),기소유예,혐의없음,죄가안됨,공소권없음,기소중지,참고인중지,공소보류
No,자료시점,분류,분류,분류,분류,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료
112,2018년,형법범,기타형법범죄,공무방해,공무방해치상,141,115,45,67,3,3,0,0,0,21,7,11,0,3,2,0,0
113,2018년,형법범,기타형법범죄,공안을해하는죄,공안을해하는죄,268,205,70,126,9,0,0,0,0,33,4,26,1,2,30,0,0
114,2018년,형법범,기타형법범죄,교통방해,교통방해,"1,508",576,6,78,492,1,0,0,0,903,271,615,2,15,28,0,0
115,2018년,형법범,기타형법범죄,권리행사방해,권리행사방해,"14,257","2,485",22,808,"1,655",46,5,0,0,"9,512",441,"8,740",17,314,"2,045",164,0
116,2018년,형법범,기타형법범죄,내란의죄,내란의죄,9,0,0,0,0,0,0,0,0,1,0,1,0,0,2,6,0
117,2018년,형법범,기타형법범죄,도주와범인은닉,도주와범인은닉,629,437,43,219,175,7,0,0,0,176,46,107,19,4,5,4,0
118,2018년,형법범,기타형법범죄,명예,명예,"32,394","9,065",23,470,"8,572",193,5,0,0,"21,541","1,910","8,998",454,"10,179","1,576",14,0
119,2018년,형법범,기타형법범죄,무고,무고,"5,482","1,446",60,712,674,5,0,0,0,"3,932",41,"3,826",7,58,80,19,0
120,2018년,형법범,기타형법범죄,비밀침해,비밀침해,91,18,0,1,17,0,0,0,0,72,6,39,1,26,1,0,0
121,2018년,형법범,기타형법범죄,신용업무경매,신용업무경매,"27,107","12,651",474,"3,239","8,938",48,4,0,0,"14,007","5,460","7,888",89,570,349,48,0
122,2018년,형법범,기타형법범죄,위증과증거인멸,위증과증거인멸,"3,051","1,181",17,604,560,3,0,0,0,"1,798",24,"1,728",1,45,56,13,0
123,2018년,형법범,기타형법범죄,음용수에관한죄,음용수에관한죄,22,1,0,0,1,0,0,0,0,21,3,18,0,0,0,0,0
124,2018년,형법범,기타형법범죄,일수와수리에관한죄,일수와수리에관한죄,9,4,0,0,4,0,0,0,0,5,0,5,0,0,0,0,0
125,2018년,형법범,기타형법범죄,주거침입,주거침입,"11,935","4,320",149,737,"3,434",173,26,0,0,"7,220","3,618","3,206",153,243,183,13,0
126,2018년,형법범,기타형법범죄,기타,기타,76,14,0,14,0,0,0,0,0,59,18,31,3,7,3,0,0
127,2018년,특별법범,특별법범의 계[입력치],특별법범의 계[입력치],특별법범의 계[입력치],"796,486","418,597","6,262","61,287","351,048","3,558",102,456,"2,410","341,315","86,956","81,197",284,"172,878","28,963","1,085",0
128,2018년,특별법범,가정폭력범죄의처벌등에관한특례법,가정폭력범죄의처벌등에관한특례법,가정폭력범죄의처벌등에관한특례법,296,194,16,49,129,0,22,0,0,78,27,23,0,28,2,0,0
129,2018년,특별법범,가축분뇨의관리및이용에관한법률,가축분뇨의관리및이용에관한법률,가축분뇨의관리및이용에관한법률,"1,041",751,1,35,715,0,0,0,0,286,174,107,0,5,4,0,0
130,2018년,특별법범,감염병의예방및관리에관한법률,감염병의예방및관리에관한법률,감염병의예방및관리에관한법률,197,90,1,0,89,0,0,0,0,105,74,31,0,0,2,0,0
131,2018년,특별법범,개발제한구역의지정및관리에관한특별조치법,개발제한구역의지정및관리에관한특별조치법,개발제한구역의지정및관리에관한특별조치법,"1,299",912,0,82,830,0,0,0,0,381,112,243,0,26,5,1,0
132,2018년,특별법범,개인정보보호법,개인정보보호법,개인정보보호법,"1,865",394,12,55,327,0,0,0,0,"1,407",199,"1,177",14,17,53,11,0
133,2018년,특별법범,건강기능식품에관한법률,건강기능식품에관한법률,건강기능식품에관한법률,422,160,1,3,156,0,0,0,0,261,193,65,0,3,1,0,0
134,2018년,특별법범,건설기계관리법,건설기계관리법,건설기계관리법,661,365,0,10,355,0,0,0,0,292,82,199,0,11,4,0,0
135,2018년,특별법범,건설산업기본법,건설산업기본법,건설산업기본법,"3,052","2,145",2,198,"1,945",0,0,0,0,875,185,631,1,58,20,12,0
136,2018년,특별법범,건축법,건축법,건축법,"5,138","2,929",2,82,"2,845",0,0,0,0,"2,200","1,018",890,1,291,9,0,0
137,2018년,특별법범,게임산업진흥에관한법률,게임산업진흥에관한법률,게임산업진흥에관한법률,"7,361","4,101",230,"1,478","2,393",8,0,0,0,"3,030","1,608","1,363",0,59,182,40,0
138,2018년,특별법범,결혼중개업의관리에관한법률,결혼중개업의관리에관한법률,결혼중개업의관리에관한법률,145,70,0,3,67,0,0,0,0,69,22,45,1,1,6,0,0
139,2018년,특별법범,경범죄처벌법,경범죄처벌법,경범죄처벌법,"6,586","4,333",19,159,"4,155",30,0,0,1,"2,073","1,060",720,7,286,147,2,0
140,2018년,특별법범,고용보험법,고용보험법,고용보험법,"2,966","1,727",0,23,"1,704",0,0,0,0,"1,233","1,071",150,0,12,6,0,0
141,2018년,특별법범,공유수면관리및매립에관한법률,공유수면관리및매립에관한법률,공유수면관리및매립에관한법률,281,202,0,3,199,0,0,0,0,76,41,32,0,3,2,1,0
142,2018년,특별법범,공유재산및물품관리법,공유재산및물품관리법,공유재산및물품관리법,79,46,0,6,40,0,0,0,0,32,12,18,0,2,1,0,0
143,2018년,특별법범,공인중개사법,공인중개사법,공인중개사법,"1,616",724,3,60,661,0,0,0,0,880,205,654,0,21,11,1,0
144,2018년,특별법범,공중위생관리법,공중위생관리법,공중위생관리법,"1,784","1,271",0,43,"1,228",0,0,0,0,499,304,129,0,66,12,2,0
145,2018년,특별법범,공직선거법,공직선거법,공직선거법,"2,565","1,424",55,"1,362",7,1,0,0,0,"1,106",216,823,16,51,34,0,0
146,2018년,특별법범,관세법,관세법,관세법,969,624,30,247,347,0,0,0,0,294,120,145,2,27,38,13,0
147,2018년,특별법범,교통사고처리특례법,교통사고처리특례법,교통사고처리특례법,"197,743","54,785",163,"8,386","46,236",552,0,0,0,"140,374","5,089","3,247",25,"132,013","2,019",13,0
148,2018년,특별법범,국가기술자격법,국가기술자격법,국가기술자격법,173,128,0,14,114,0,0,0,0,43,10,32,0,1,2,0,0
149,2018년,특별법범,국가보안법,국가보안법,국가보안법,40,9,4,5,0,0,0,0,0,26,5,18,0,3,5,0,0
150,2018년,특별법범,국민체육진흥법,국민체육진흥법,국민체육진흥법,393,199,19,49,131,3,0,0,0,134,90,32,0,12,47,10,0
151,2018년,특별법범,국토의계획및이용에관한법률,국토의계획및이용에관한법률,국토의계획및이용에관한법률,"1,552",982,3,107,872,1,0,0,0,558,171,326,0,61,9,2,0
152,2018년,특별법범,근로기준법,근로기준법,근로기준법,"41,008","20,364",23,"2,099","18,242",0,0,0,0,"15,591","2,715","1,832",3,"11,041","4,981",72,0
153,2018년,특별법범,근로자퇴직급여보장법,근로자퇴직급여보장법,근로자퇴직급여보장법,"9,095","4,669",2,832,"3,835",0,0,0,0,"3,886",282,244,4,"3,356",538,2,0
154,2018년,특별법범,낚시관리및육성법,낚시관리및육성법,낚시관리및육성법,222,185,0,3,182,0,0,0,0,37,18,18,0,1,0,0,0
155,2018년,특별법범,노동조합및노동관계조정법,노동조합및노동관계조정법,노동조합및노동관계조정법,"1,117",127,0,47,80,0,0,0,0,986,90,882,3,11,4,0,0
156,2018년,특별법범,농수산물유통및가격안정에관한법률,농수산물유통및가격안정에관한법률,농수산물유통및가격안정에관한법률,46,26,0,2,24,0,0,0,0,19,7,12,0,0,1,0,0
157,2018년,특별법범,농수산물의원산지표시에관한법률,농수산물의원산지표시에관한법률,농수산물의원산지표시에관한법률,"3,055","2,439",11,61,"2,367",0,0,0,0,615,459,152,0,4,1,0,0
